mir,disease
hsa-mir-93,Lymphoma
hsa-mir-96,"Leukemia, Myeloid, Acute"
hsa-mir-96,Kidney Neoplasms
hsa-mir-96,Endometrial Neoplasms
hsa-mir-96,Osteoporosis
hsa-mir-96,"Lymphoma, Large B-Cell, Diffuse"
hsa-mir-96,Prostatic Neoplasms
hsa-mir-96,Neoplasm Metastasis
hsa-mir-96,"Neoplasms, Hormone-Dependent"
hsa-mir-96,"Diabetes Mellitus, Type 1"
hsa-mir-96,Adenocarcinoma
hsa-mir-96,Breast Neoplasms
hsa-mir-96,"Carcinoma, Lobular"
hsa-mir-96,Liver Cirrhosis
hsa-mir-96,"Carcinoma, Hepatocellular"
hsa-mir-96,Lung Neoplasms
hsa-mir-96,"Carcinoma, Squamous Cell"
hsa-mir-96,Bone Neoplasms
hsa-mir-96,Ovarian Neoplasms
hsa-mir-96,Liver Neoplasms
hsa-mir-96,Mouth Neoplasms
hsa-mir-96,"Hearing Loss, Sensorineural"
hsa-mir-96,Parkinson Disease
hsa-mir-96,Nasopharyngeal Carcinoma
hsa-mir-96,"Lymphoma, Large-Cell, Anaplastic"
hsa-mir-96,"Carcinoma, Renal Cell"
hsa-mir-96,"Mammary Neoplasms, Experimental"
hsa-mir-96,Neoplasm Invasiveness
hsa-mir-96,Intervertebral Disc Degeneration
hsa-mir-96,Colonic Neoplasms
hsa-mir-96,"Carcinoma, Ovarian Epithelial"
hsa-mir-96,Uterine Cervical Neoplasms
hsa-mir-96,"Carcinoma, Pancreatic Ductal"
hsa-mir-96,Kidney Diseases
hsa-mir-96,Pancreatic Neoplasms
hsa-mir-96,"Carcinoma, Papillary"
hsa-mir-96,"Diabetes Mellitus, Experimental"
hsa-mir-96,Carcinogenesis
hsa-mir-96,Colorectal Neoplasms
hsa-mir-96,"Thyroid Cancer, Papillary"
hsa-mir-96,Thyroid Neoplasms
hsa-mir-96,Idiopathic Pulmonary Fibrosis
hsa-mir-96,Stomach Neoplasms
hsa-mir-96,"Carcinoma, Ductal, Breast"
hsa-mir-96,"Diabetes, Gestational"
hsa-mir-96,Sepsis
hsa-mir-96,"Cell Transformation, Neoplastic"
hsa-mir-96,Glioblastoma
hsa-mir-96,Osteosarcoma
hsa-mir-96,Squamous Cell Carcinoma of Head and Neck
hsa-mir-96,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive"
hsa-mir-96,Lymphatic Metastasis
hsa-mir-96,Cardiomegaly
hsa-mir-96,Triple Negative Breast Neoplasms
hsa-mir-96,Brain Neoplasms
hsa-mir-96,Precursor T-Cell Lymphoblastic Leukemia-Lymphoma
hsa-mir-96,Myocardial Infarction
hsa-mir-96,Head and Neck Neoplasms
hsa-mir-96,Glioma
hsa-mir-96,Ureteral Obstruction
hsa-mir-96,Esophageal Neoplasms
hsa-mir-96,Blast Crisis
hsa-mir-96,Carcinoma
hsa-mir-96,Adenocarcinoma of Lung
hsa-mir-96,Graves Ophthalmopathy
hsa-mir-96,"Carcinoma, Non-Small-Cell Lung"
hsa-mir-148a,"Leishmaniasis, Visceral"
hsa-mir-148a,"Lymphoma, B-Cell"
hsa-mir-148a,Atherosclerosis
hsa-mir-148a,"Carcinoma, Hepatocellular"
hsa-mir-148a,Dengue
hsa-mir-148a,"Carcinoma, Renal Cell"
hsa-mir-148a,Leishmaniasis
hsa-mir-148a,Neoplasm Invasiveness
hsa-mir-148a,Colonic Neoplasms
hsa-mir-148a,"Carcinoma, Pancreatic Ductal"
hsa-mir-148a,"Thyroid Carcinoma, Anaplastic"
hsa-mir-148a,Thyroid Neoplasms
hsa-mir-148a,Stomach Neoplasms
hsa-mir-148a,Endometriosis
hsa-mir-148a,"Cholestasis, Intrahepatic"
hsa-mir-148a,Osteosarcoma
hsa-mir-148a,Myocarditis
hsa-mir-148a,Triple Negative Breast Neoplasms
hsa-mir-148a,Liver Diseases
hsa-mir-148a,Hyperglycemia
hsa-mir-148a,Hodgkin Disease
hsa-mir-148a,Esophageal Neoplasms
hsa-mir-148a,Hepatitis B
hsa-mir-148a,Nasopharyngeal Neoplasms
hsa-mir-148a,Adenocarcinoma
hsa-mir-148a,"Neoplasm Recurrence, Local"
hsa-mir-148a,Thrombocytopenia
hsa-mir-148a,"Liver Neoplasms, Experimental"
hsa-mir-148a,Pancreatic Neoplasms
hsa-mir-148a,Carcinogenesis
hsa-mir-148a,Colorectal Neoplasms
hsa-mir-148a,Hyperhomocysteinemia
hsa-mir-148a,"Arthritis, Rheumatoid"
hsa-mir-148a,Hepatitis C
hsa-mir-148a,Glioma
hsa-mir-148a,Tendinopathy
hsa-mir-148a,Small Cell Lung Carcinoma
hsa-mir-148a,Coxsackievirus Infections
hsa-mir-148a,Reperfusion Injury
hsa-mir-148a,Kidney Neoplasms
hsa-mir-148a,Neoplasm Metastasis
hsa-mir-148a,Skin Neoplasms
hsa-mir-148a,Liver Cirrhosis
hsa-mir-148a,Diabetic Retinopathy
hsa-mir-148a,Lung Neoplasms
hsa-mir-148a,"Carcinoma, Squamous Cell"
hsa-mir-148a,Pregnancy Complications
hsa-mir-148a,Ovarian Neoplasms
hsa-mir-148a,Liver Neoplasms
hsa-mir-148a,Bone Neoplasms
hsa-mir-148a,Urinary Bladder Neoplasms
hsa-mir-148a,Thrombosis
hsa-mir-148a,Uterine Cervical Neoplasms
hsa-mir-148a,"Neoplasms, Experimental"
hsa-mir-148a,"Cell Transformation, Neoplastic"
hsa-mir-148a,Femur Head Necrosis
hsa-mir-148a,Glioblastoma
hsa-mir-148a,Squamous Cell Carcinoma of Head and Neck
hsa-mir-148a,Lymphatic Metastasis
hsa-mir-148a,"Lupus Erythematosus, Systemic"
hsa-mir-148a,Psoriasis
hsa-mir-148a,Adenocarcinoma of Lung
hsa-mir-148a,"Leukemia, Myeloid, Acute"
hsa-mir-148a,Neurogenic Inflammation
hsa-mir-148a,Prostatic Neoplasms
hsa-mir-148a,Breast Neoplasms
hsa-mir-148a,Mouth Neoplasms
hsa-mir-148a,Nasopharyngeal Carcinoma
hsa-mir-148a,"Mammary Neoplasms, Experimental"
hsa-mir-148a,Esophageal Squamous Cell Carcinoma
hsa-mir-148a,Cardiomyopathies
hsa-mir-148a,Brain Neoplasms
hsa-mir-148a,Multiple Myeloma
hsa-mir-148a,Head and Neck Neoplasms
hsa-mir-148a,Lupus Nephritis
hsa-mir-148a,Carcinoma
hsa-mir-148a,Laryngeal Neoplasms
hsa-mir-148a,Heart Failure
hsa-mir-148a,Dog Diseases
hsa-mir-148a,"Carcinoma, Non-Small-Cell Lung"
hsa-mir-139,Intracranial Aneurysm
hsa-mir-139,"Carcinoma, Hepatocellular"
hsa-mir-139,"Carcinoma, Renal Cell"
hsa-mir-139,Adrenal Cortex Neoplasms
hsa-mir-139,Neoplasm Invasiveness
hsa-mir-139,Colonic Neoplasms
hsa-mir-139,"Thyroid Cancer, Papillary"
hsa-mir-139,Thyroid Neoplasms
hsa-mir-139,Stomach Neoplasms
hsa-mir-139,Endometriosis
hsa-mir-139,Retinoblastoma
hsa-mir-139,Osteosarcoma
hsa-mir-139,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive"
hsa-mir-139,Cardiomegaly
hsa-mir-139,Triple Negative Breast Neoplasms
hsa-mir-139,"Epilepsy, Temporal Lobe"
hsa-mir-139,Esophageal Neoplasms
hsa-mir-139,Drug Resistant Epilepsy
hsa-mir-139,Wound Infection
hsa-mir-139,"Cystitis, Interstitial"
hsa-mir-139,"Neoplasm Recurrence, Local"
hsa-mir-139,Pancreatic Neoplasms
hsa-mir-139,Neurodegenerative Diseases
hsa-mir-139,Carcinogenesis
hsa-mir-139,Colorectal Neoplasms
hsa-mir-139,Diabetic Angiopathies
hsa-mir-139,Glioma
hsa-mir-139,Leiomyoma
hsa-mir-139,Reperfusion Injury
hsa-mir-139,Kidney Neoplasms
hsa-mir-139,Neoplasm Metastasis
hsa-mir-139,Asthma
hsa-mir-139,Diabetic Retinopathy
hsa-mir-139,Liver Cirrhosis
hsa-mir-139,Glaucoma
hsa-mir-139,Melanoma
hsa-mir-139,Lung Neoplasms
hsa-mir-139,Bone Neoplasms
hsa-mir-139,"Carcinoma, Squamous Cell"
hsa-mir-139,Ovarian Neoplasms
hsa-mir-139,Liver Neoplasms
hsa-mir-139,Urinary Bladder Neoplasms
hsa-mir-139,Staphylococcal Infections
hsa-mir-139,Amyotrophic Lateral Sclerosis
hsa-mir-139,Uterine Cervical Neoplasms
hsa-mir-139,"Neoplasms, Experimental"
hsa-mir-139,"Cell Transformation, Neoplastic"
hsa-mir-139,Morphine Dependence
hsa-mir-139,Glioblastoma
hsa-mir-139,Squamous Cell Carcinoma of Head and Neck
hsa-mir-139,Lymphatic Metastasis
hsa-mir-139,"Hypoxia-Ischemia, Brain"
hsa-mir-139,"Osteoarthritis, Knee"
hsa-mir-139,Retinal Neoplasms
hsa-mir-139,Hemangioma
hsa-mir-139,Adenocarcinoma of Lung
hsa-mir-139,Gallbladder Neoplasms
hsa-mir-139,"Leukemia, Myeloid"
hsa-mir-139,"Diabetes Mellitus, Type 2"
hsa-mir-139,Brain Infarction
hsa-mir-139,"Leukemia, Myeloid, Acute"
hsa-mir-139,Prostatic Neoplasms
hsa-mir-139,Breast Neoplasms
hsa-mir-139,Mouth Neoplasms
hsa-mir-139,Non-alcoholic Fatty Liver Disease
hsa-mir-139,Obesity
hsa-mir-139,"Neoplasms, Glandular and Epithelial"
hsa-mir-139,"Carcinoma, Ovarian Epithelial"
hsa-mir-139,Pre-Eclampsia
hsa-mir-139,Supratentorial Neoplasms
hsa-mir-139,"Carcinoma, Ductal, Breast"
hsa-mir-139,Esophageal Squamous Cell Carcinoma
hsa-mir-139,Brain Neoplasms
hsa-mir-139,Myocardial Infarction
hsa-mir-139,Head and Neck Neoplasms
hsa-mir-139,Laryngeal Neoplasms
hsa-mir-139,"Carcinoma, Non-Small-Cell Lung"
hsa-mir-34a,"Prostatic Neoplasms, Castration-Resistant"
hsa-mir-34a,Endometrial Neoplasms
hsa-mir-34a,"Lymphoma, Large B-Cell, Diffuse"
hsa-mir-34a,Papillomavirus Infections
hsa-mir-34a,Atherosclerosis
hsa-mir-34a,"Carcinoma, Hepatocellular"
hsa-mir-34a,Vascular Calcification
hsa-mir-34a,Bronchopulmonary Dysplasia
hsa-mir-34a,"Hepatitis C, Chronic"
hsa-mir-34a,Meningeal Neoplasms
hsa-mir-34a,"Carcinoma, Renal Cell"
hsa-mir-34a,Neoplasm Invasiveness
hsa-mir-34a,Colonic Neoplasms
hsa-mir-34a,"Carcinoma, Non-Small-Cell Lung"
hsa-mir-34a,Kidney Diseases
hsa-mir-34a,Atrial Fibrillation
hsa-mir-34a,"Carcinoma, Pancreatic Ductal"
hsa-mir-34a,Vascular Diseases
hsa-mir-34a,Thyroid Neoplasms
hsa-mir-34a,"Thyroid Cancer, Papillary"
hsa-mir-34a,Peritoneal Neoplasms
hsa-mir-34a,Stomach Neoplasms
hsa-mir-34a,Endometriosis
hsa-mir-34a,Retinoblastoma
hsa-mir-34a,"Cystadenocarcinoma, Serous"
hsa-mir-34a,Osteosarcoma
hsa-mir-34a,Retinal Neovascularization
hsa-mir-34a,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive"
hsa-mir-34a,Triple Negative Breast Neoplasms
hsa-mir-34a,"Neoplasms, Basal Cell"
hsa-mir-34a,Liver Diseases
hsa-mir-34a,Helicobacter Infections
hsa-mir-34a,Hyperglycemia
hsa-mir-34a,Choriocarcinoma
hsa-mir-34a,Esophageal Neoplasms
hsa-mir-34a,Fanconi Anemia
hsa-mir-34a,Uterine Neoplasms
hsa-mir-34a,"Sarcoma, Ewing"
hsa-mir-34a,Nasal Polyps
hsa-mir-34a,"Leukemia, Promyelocytic, Acute"
hsa-mir-34a,Hepatitis B
hsa-mir-34a,Hirschsprung Disease
hsa-mir-34a,"Kidney Failure, Chronic"
hsa-mir-34a,Nasopharyngeal Neoplasms
hsa-mir-34a,Adenocarcinoma
hsa-mir-34a,"Liver Diseases, Alcoholic"
hsa-mir-34a,Cerebellar Neoplasms
hsa-mir-34a,"Neoplasm Recurrence, Local"
hsa-mir-34a,Capsule Opacification
hsa-mir-34a,Cataract
hsa-mir-34a,Bile Duct Neoplasms
hsa-mir-34a,HIV Infections
hsa-mir-34a,"Liver Neoplasms, Experimental"
hsa-mir-34a,Pancreatic Neoplasms
hsa-mir-34a,Graft vs Host Disease
hsa-mir-34a,Varicose Ulcer
hsa-mir-34a,Carcinogenesis
hsa-mir-34a,Colorectal Neoplasms
hsa-mir-34a,Neurofibroma
hsa-mir-34a,Hearing Loss
hsa-mir-34a,"Cholesteatoma, Middle Ear"
hsa-mir-34a,Central Nervous System Neoplasms
hsa-mir-34a,Chemical and Drug Induced Liver Injury
hsa-mir-34a,Keloid
hsa-mir-34a,Adenoma
hsa-mir-34a,Tongue Neoplasms
hsa-mir-34a,"Arthritis, Rheumatoid"
hsa-mir-34a,Neuroblastoma
hsa-mir-34a,Brain Ischemia
hsa-mir-34a,Diabetes Mellitus
hsa-mir-34a,Bone Resorption
hsa-mir-34a,Glioma
hsa-mir-34a,Ureteral Obstruction
hsa-mir-34a,Diabetic Foot
hsa-mir-34a,"Carcinoma, Transitional Cell"
hsa-mir-34a,"Mammary Neoplasms, Animal"
hsa-mir-34a,Reperfusion Injury
hsa-mir-34a,Kidney Neoplasms
hsa-mir-34a,"Carcinoma, Lewis Lung"
hsa-mir-34a,Osteoporosis
hsa-mir-34a,Neoplasm Metastasis
hsa-mir-34a,Skin Neoplasms
hsa-mir-34a,Cardiotoxicity
hsa-mir-34a,Asthma
hsa-mir-34a,Pulmonary Arterial Hypertension
hsa-mir-34a,"Carcinoma, Lobular"
hsa-mir-34a,Liver Cirrhosis
hsa-mir-34a,Diabetic Retinopathy
hsa-mir-34a,Melanoma
hsa-mir-34a,Lung Neoplasms
hsa-mir-34a,Bone Neoplasms
hsa-mir-34a,"Carcinoma, Squamous Cell"
hsa-mir-34a,Ovarian Neoplasms
hsa-mir-34a,Liver Neoplasms
hsa-mir-34a,ST Elevation Myocardial Infarction
hsa-mir-34a,"Urinary Incontinence, Stress"
hsa-mir-34a,Urinary Bladder Neoplasms
hsa-mir-34a,Pituitary Neoplasms
hsa-mir-34a,Growth Hormone-Secreting Pituitary Adenoma
hsa-mir-34a,Uterine Cervical Neoplasms
hsa-mir-34a,Polycystic Ovary Syndrome
hsa-mir-34a,Lung Injury
hsa-mir-34a,"Diabetes Mellitus, Experimental"
hsa-mir-34a,"Neoplasms, Experimental"
hsa-mir-34a,"Cell Transformation, Neoplastic"
hsa-mir-34a,Sepsis
hsa-mir-34a,Femur Head Necrosis
hsa-mir-34a,Glioblastoma
hsa-mir-34a,Squamous Cell Carcinoma of Head and Neck
hsa-mir-34a,"Hypertension, Pulmonary"
hsa-mir-34a,Lymphatic Metastasis
hsa-mir-34a,Medulloblastoma
hsa-mir-34a,"Lupus Erythematosus, Systemic"
hsa-mir-34a,"Osteoarthritis, Knee"
hsa-mir-34a,Osteoarthritis
hsa-mir-34a,Diabetes Complications
hsa-mir-34a,Retinal Neoplasms
hsa-mir-34a,Leukemia
hsa-mir-34a,Metabolic Diseases
hsa-mir-34a,"Osteoarthritis, Hip"
hsa-mir-34a,Adenocarcinoma of Lung
hsa-mir-34a,Gallbladder Neoplasms
hsa-mir-34a,"Diabetes Mellitus, Type 2"
hsa-mir-34a,"Leukemia, Myeloid, Acute"
hsa-mir-34a,Myocardial Reperfusion Injury
hsa-mir-34a,Prostatic Neoplasms
hsa-mir-34a,Diabetic Nephropathies
hsa-mir-34a,Gastrointestinal Neoplasms
hsa-mir-34a,Parkinsonian Disorders
hsa-mir-34a,Gastrointestinal Stromal Tumors
hsa-mir-34a,Meningioma
hsa-mir-34a,Breast Neoplasms
hsa-mir-34a,Pulmonary Fibrosis
hsa-mir-34a,"Leukemia, Lymphocytic, Chronic, B-Cell"
hsa-mir-34a,"Lymphoma, B-Cell, Marginal Zone"
hsa-mir-34a,Spinal Cord Neoplasms
hsa-mir-34a,Mouth Neoplasms
hsa-mir-34a,Alzheimer Disease
hsa-mir-34a,Non-alcoholic Fatty Liver Disease
hsa-mir-34a,Fatty Liver
hsa-mir-34a,Nasopharyngeal Carcinoma
hsa-mir-34a,Obesity
hsa-mir-34a,"Leukemia, Experimental"
hsa-mir-34a,"Neoplasms, Glandular and Epithelial"
hsa-mir-34a,Condylomata Acuminata
hsa-mir-34a,Intervertebral Disc Degeneration
hsa-mir-34a,Cholangiocarcinoma
hsa-mir-34a,"Carcinoma, Ovarian Epithelial"
hsa-mir-34a,"Carcinoma, Papillary"
hsa-mir-34a,Pre-Eclampsia
hsa-mir-34a,Idiopathic Pulmonary Fibrosis
hsa-mir-34a,Uveal Neoplasms
hsa-mir-34a,"Carcinoma, Ductal, Breast"
hsa-mir-34a,Migraine Disorders
hsa-mir-34a,Heart Diseases
hsa-mir-34a,Esophageal Squamous Cell Carcinoma
hsa-mir-34a,"Pulmonary Disease, Chronic Obstructive"
hsa-mir-34a,Myocardial Ischemia
hsa-mir-34a,Precancerous Conditions
hsa-mir-34a,Kidney Calculi
hsa-mir-34a,Mesothelioma
hsa-mir-34a,Brain Neoplasms
hsa-mir-34a,Precursor T-Cell Lymphoblastic Leukemia-Lymphoma
hsa-mir-34a,Multiple Myeloma
hsa-mir-34a,Head and Neck Neoplasms
hsa-mir-34a,Myocardial Infarction
hsa-mir-34a,Nerve Sheath Neoplasms
hsa-mir-34a,Laryngeal Neoplasms
hsa-mir-34a,Carcinoma
hsa-mir-34a,Chordoma
hsa-mir-34a,Heart Failure
hsa-mir-34a,"Liver Cirrhosis, Biliary"
hsa-mir-34a,"Adenocarcinoma, Bronchiolo-Alveolar"
hsa-mir-34a,Ovarian Diseases
hsa-mir-34a,"Mesothelioma, Malignant"
hsa-mir-182,Endometrial Neoplasms
hsa-mir-182,Atherosclerosis
hsa-mir-182,"Carcinoma, Hepatocellular"
hsa-mir-182,Vascular Calcification
hsa-mir-182,Meningeal Neoplasms
hsa-mir-182,"Carcinoma, Renal Cell"
hsa-mir-182,Neoplasm Invasiveness
hsa-mir-182,Colonic Neoplasms
hsa-mir-182,"Thyroid Cancer, Papillary"
hsa-mir-182,Thyroid Neoplasms
hsa-mir-182,Stomach Neoplasms
hsa-mir-182,Endometriosis
hsa-mir-182,Retinoblastoma
hsa-mir-182,Osteosarcoma
hsa-mir-182,Triple Negative Breast Neoplasms
hsa-mir-182,Glucose Intolerance
hsa-mir-182,"Infarction, Middle Cerebral Artery"
hsa-mir-182,Coronary Artery Disease
hsa-mir-182,Esophageal Neoplasms
hsa-mir-182,Acute Lung Injury
hsa-mir-182,Uterine Neoplasms
hsa-mir-182,Chlamydia Infections
hsa-mir-182,"Leukemia, Promyelocytic, Acute"
hsa-mir-182,"Colitis, Ulcerative"
hsa-mir-182,Acute Kidney Injury
hsa-mir-182,"Carcinoma, Neuroendocrine"
hsa-mir-182,Nasopharyngeal Neoplasms
hsa-mir-182,Adenocarcinoma
hsa-mir-182,"Leukemia, Lymphoid"
hsa-mir-182,Cerebellar Neoplasms
hsa-mir-182,Prostatic Hyperplasia
hsa-mir-182,Pancreatic Neoplasms
hsa-mir-182,Carcinogenesis
hsa-mir-182,Colorectal Neoplasms
hsa-mir-182,"Polycystic Kidney, Autosomal Dominant"
hsa-mir-182,"Diabetes, Gestational"
hsa-mir-182,Adenoma
hsa-mir-182,Neuroblastoma
hsa-mir-182,Brain Ischemia
hsa-mir-182,Diabetes Mellitus
hsa-mir-182,Glioma
hsa-mir-182,Leiomyoma
hsa-mir-182,"Neoplastic Cells, Circulating"
hsa-mir-182,"Carcinoma, Transitional Cell"
hsa-mir-182,"Breast Neoplasms, Male"
hsa-mir-182,Reperfusion Injury
hsa-mir-182,Kidney Neoplasms
hsa-mir-182,Neoplasm Metastasis
hsa-mir-182,Skin Neoplasms
hsa-mir-182,Soft Tissue Neoplasms
hsa-mir-182,Cytomegalovirus Infections
hsa-mir-182,"Carcinoma, Lobular"
hsa-mir-182,Diabetic Retinopathy
hsa-mir-182,Melanoma
hsa-mir-182,Lung Neoplasms
hsa-mir-182,"Carcinoma, Squamous Cell"
hsa-mir-182,Bone Neoplasms
hsa-mir-182,Ovarian Neoplasms
hsa-mir-182,Liver Neoplasms
hsa-mir-182,Urinary Bladder Neoplasms
hsa-mir-182,Uterine Cervical Neoplasms
hsa-mir-182,Polycystic Ovary Syndrome
hsa-mir-182,Coronary Stenosis
hsa-mir-182,"Cell Transformation, Neoplastic"
hsa-mir-182,Glioblastoma
hsa-mir-182,"Hypertension, Pulmonary"
hsa-mir-182,Squamous Cell Carcinoma of Head and Neck
hsa-mir-182,Medulloblastoma
hsa-mir-182,"Carcinoma, Endometrioid"
hsa-mir-182,"Osteoporosis, Postmenopausal"
hsa-mir-182,Sarcoma
hsa-mir-182,Adenocarcinoma of Lung
hsa-mir-182,Gallbladder Neoplasms
hsa-mir-182,"Leukemia, Myeloid, Acute"
hsa-mir-182,Prostatic Neoplasms
hsa-mir-182,Diabetic Nephropathies
hsa-mir-182,Gastrointestinal Stromal Tumors
hsa-mir-182,Calcinosis
hsa-mir-182,Breast Neoplasms
hsa-mir-182,Mouth Neoplasms
hsa-mir-182,Pneumonia
hsa-mir-182,Nasopharyngeal Carcinoma
hsa-mir-182,Intervertebral Disc Degeneration
hsa-mir-182,"Carcinoma, Papillary"
hsa-mir-182,Idiopathic Pulmonary Fibrosis
hsa-mir-182,Uveal Neoplasms
hsa-mir-182,"Carcinoma, Ductal, Breast"
hsa-mir-182,Heart Diseases
hsa-mir-182,Esophageal Squamous Cell Carcinoma
hsa-mir-182,Brain Neoplasms
hsa-mir-182,Hallux Valgus
hsa-mir-182,Ischemia
hsa-mir-182,Head and Neck Neoplasms
hsa-mir-182,Carcinoma
hsa-mir-182,Laryngeal Neoplasms
hsa-mir-182,Mucocutaneous Lymph Node Syndrome
hsa-mir-182,"Carcinoma, Non-Small-Cell Lung"
hsa-mir-183,"Leukemia, Myeloid, Acute"
hsa-mir-183,Muscular Dystrophies
hsa-mir-183,"Adenocarcinoma, Follicular"
hsa-mir-183,Endometrial Neoplasms
hsa-mir-183,Kidney Neoplasms
hsa-mir-183,Hyperalgesia
hsa-mir-183,Prostatic Neoplasms
hsa-mir-183,"Carcinoma, Neuroendocrine"
hsa-mir-183,Neoplasm Metastasis
hsa-mir-183,Nasopharyngeal Neoplasms
hsa-mir-183,"Diabetes Mellitus, Type 1"
hsa-mir-183,"Carcinoma, Lobular"
hsa-mir-183,Breast Neoplasms
hsa-mir-183,Adenocarcinoma
hsa-mir-183,Epstein-Barr Virus Infections
hsa-mir-183,Lung Diseases
hsa-mir-183,"Carcinoma, Hepatocellular"
hsa-mir-183,Melanoma
hsa-mir-183,Lung Neoplasms
hsa-mir-183,Bone Neoplasms
hsa-mir-183,"Carcinoma, Squamous Cell"
hsa-mir-183,Ovarian Neoplasms
hsa-mir-183,Liver Neoplasms
hsa-mir-183,"Eye Infections, Bacterial"
hsa-mir-183,Bile Duct Neoplasms
hsa-mir-183,Urinary Bladder Neoplasms
hsa-mir-183,Pituitary Neoplasms
hsa-mir-183,Neoplasm Invasiveness
hsa-mir-183,Colonic Neoplasms
hsa-mir-183,Cholangiocarcinoma
hsa-mir-183,Uterine Cervical Neoplasms
hsa-mir-183,Pancreatic Neoplasms
hsa-mir-183,"Carcinoma, Papillary"
hsa-mir-183,Pre-Eclampsia
hsa-mir-183,Carcinogenesis
hsa-mir-183,Thyroid Neoplasms
hsa-mir-183,Colorectal Neoplasms
hsa-mir-183,Neuroendocrine Tumors
hsa-mir-183,"Thyroid Cancer, Papillary"
hsa-mir-183,Retinoblastoma
hsa-mir-183,Endometriosis
hsa-mir-183,"Carcinoma, Ductal, Breast"
hsa-mir-183,Stomach Neoplasms
hsa-mir-183,Adenocarcinoma of Lung
hsa-mir-183,Adenoma
hsa-mir-183,Glioblastoma
hsa-mir-183,Tongue Neoplasms
hsa-mir-183,Esophageal Squamous Cell Carcinoma
hsa-mir-183,Osteosarcoma
hsa-mir-183,Neuroblastoma
hsa-mir-183,Lymphatic Metastasis
hsa-mir-183,Neuralgia
hsa-mir-183,Brain Neoplasms
hsa-mir-183,Retinal Neoplasms
hsa-mir-183,Leukemia
hsa-mir-183,Glioma
hsa-mir-183,Esophageal Neoplasms
hsa-mir-183,Laryngeal Neoplasms
hsa-mir-183,Carcinoma
hsa-mir-183,Heart Failure
hsa-mir-183,Sciatic Neuropathy
hsa-mir-183,Thyroid Nodule
hsa-mir-183,Graves Ophthalmopathy
hsa-mir-183,"Neoplasms, Experimental"
hsa-mir-183,"Carcinoma, Non-Small-Cell Lung"
hsa-mir-183,Pseudomonas Infections
hsa-mir-204,"Lymphoma, B-Cell"
hsa-mir-204,Endometrial Neoplasms
hsa-mir-204,Atherosclerosis
hsa-mir-204,Epstein-Barr Virus Infections
hsa-mir-204,"Carcinoma, Hepatocellular"
hsa-mir-204,"Carcinoma, Renal Cell"
hsa-mir-204,Neoplasm Invasiveness
hsa-mir-204,Colonic Neoplasms
hsa-mir-204,Atrial Fibrillation
hsa-mir-204,Thyroid Neoplasms
hsa-mir-204,"Thyroid Cancer, Papillary"
hsa-mir-204,Stomach Neoplasms
hsa-mir-204,Retinoblastoma
hsa-mir-204,"Cystadenocarcinoma, Serous"
hsa-mir-204,Spinal Cord Ischemia
hsa-mir-204,Osteosarcoma
hsa-mir-204,Triple Negative Breast Neoplasms
hsa-mir-204,Helicobacter Infections
hsa-mir-204,Esophageal Neoplasms
hsa-mir-204,"Genetic Diseases, Inborn"
hsa-mir-204,Acute Lung Injury
hsa-mir-204,Acute Kidney Injury
hsa-mir-204,Familial Mediterranean Fever
hsa-mir-204,Nasopharyngeal Neoplasms
hsa-mir-204,"Diabetes Mellitus, Type 1"
hsa-mir-204,Adenocarcinoma
hsa-mir-204,Cerebellar Neoplasms
hsa-mir-204,"Neoplasm Recurrence, Local"
hsa-mir-204,Venous Thrombosis
hsa-mir-204,Bile Duct Neoplasms
hsa-mir-204,Pancreatic Neoplasms
hsa-mir-204,Carcinogenesis
hsa-mir-204,Colorectal Neoplasms
hsa-mir-204,Neuroblastoma
hsa-mir-204,Bone Resorption
hsa-mir-204,Glioma
hsa-mir-204,Candidemia
hsa-mir-204,"Carcinoma, Transitional Cell"
hsa-mir-204,Klatskin Tumor
hsa-mir-204,Peripheral Nervous System Neoplasms
hsa-mir-204,Reperfusion Injury
hsa-mir-204,Kidney Neoplasms
hsa-mir-204,Neoplasm Metastasis
hsa-mir-204,Skin Neoplasms
hsa-mir-204,Aniridia
hsa-mir-204,Asthma
hsa-mir-204,Diabetic Retinopathy
hsa-mir-204,Glaucoma
hsa-mir-204,Melanoma
hsa-mir-204,Lung Neoplasms
hsa-mir-204,Bone Neoplasms
hsa-mir-204,"Carcinoma, Squamous Cell"
hsa-mir-204,Ovarian Neoplasms
hsa-mir-204,Liver Neoplasms
hsa-mir-204,Urinary Bladder Neoplasms
hsa-mir-204,Uterine Cervical Neoplasms
hsa-mir-204,Polycystic Ovary Syndrome
hsa-mir-204,"Neoplasms, Experimental"
hsa-mir-204,"Cell Transformation, Neoplastic"
hsa-mir-204,Glioblastoma
hsa-mir-204,Squamous Cell Carcinoma of Head and Neck
hsa-mir-204,"Hypertension, Pulmonary"
hsa-mir-204,Lymphatic Metastasis
hsa-mir-204,Medulloblastoma
hsa-mir-204,Hypertension
hsa-mir-204,Osteoarthritis
hsa-mir-204,Retinal Neoplasms
hsa-mir-204,Urinary Tract Infections
hsa-mir-204,Down Syndrome
hsa-mir-204,"Anemia, Aplastic"
hsa-mir-204,Adenocarcinoma of Lung
hsa-mir-204,"Leukemia, Myeloid, Acute"
