,TI,AB,DP,MH,PMID,mir,is_mir_causal
365,MiR-200c increases the radiosensitivity of non-small-cell lung cancer cell line,"MicroRNAs (miRNAs) have been demonstrated to participate in many important cellular processes including radiosensitization. VEGF family, an important regulator of angiogenesis, also plays a crucial role in the regulation of cancer cell radiosensitivity. VEGFR2 mediates the major growth and permeability actions of VEGF in a paracrine/autocrine manner. MiR-200c, at the nexus of epithelial-mesenchymal transition (EMT), is predicted to target VEGFR2. The purpose of this study is to test the hypothesis that regulation of VEGFR2 pathway by miR-200c could modulate the radiosensitivity of cancer cells. Bioinformatic analysis, luciferase reporter assays and biochemical assays were carried out to validate VEGFR2 as a direct target of miR-200c. The radiosensitizing effects of miR-200c on A549 cells were determined by clonogenic assays. The downstream regulating mechanism of miR-200c was explored with western blotting assays, FCM, tube formation assays and migration assays. We identified VEGFR2 as a novel target of miR-200c. The ectopic miR-200c increased the radiosensitivity of A549 while miR-200c down-regulation decreased it. Besides, we proved that miR-200c radiosensitized A549 cells by targeting VEGF-VEGFR2 pathway specifically, thus leading to inhibition of its downstream pro-survival signaling transduction and angiogenesis, and serves as a potential target for radiosensitizition research.",2013,"['Carcinoma, Non-Small-Cell Lung/*genetics', 'Cell Line, Tumor', 'Down-Regulation/genetics', 'Gene Expression Regulation, Neoplastic/genetics', 'Humans', 'Lung Neoplasms/genetics', 'MicroRNAs/*genetics', 'Radiation Tolerance/*genetics', 'Signal Transduction/*genetics', 'Vascular Endothelial Growth Factor A/*genetics', 'Vascular Endothelial Growth Factor Receptor-2/*genetics']",24205206,hsa-mir-200c,No
0,Circulating miRNA-302 family members as potential biomarkers for the diagnosis of acute heart failure.,"AIM: To explore circulating miRNA-302 family members for acute heart failure (AHF) diagnosis. METHODS: Three groups of subjects, in other words, AHF patients, AHF free patients and healthy controls were recruited. Circulating levels of miR-302 family members were measured and analyzed for AHF diagnosis. RESULTS: Plasma miR-302s except miR-302f were significantly elevated in AHF patients. MiR-302b-3p had the highest area under curve value of 0.87. There were strong positive correlations between miR-302s and NT-proBNP levels. MiR-302b-3p levels were significantly higher in left ventricular ejection fraction </=45% and New York Heart Association class IV patients compared with left ventricular ejection fraction >45% and New York Heart Association class II patients, respectively. CONCLUSION: Levels of circulating miR-302s, miR-302b-3p in particular, could be potentially applied for AHF diagnosis and the differentiation of disease severity.",2018 Aug,"['Acute Disease', 'Aged', 'Biomarkers/blood', 'Female', '*Heart Failure/blood/diagnosis/physiopathology', 'Humans', 'Male', 'MicroRNAs/*blood', 'Middle Aged', 'Severity of Illness Index', '*Stroke Volume']",29900754,hsa-mir-302f,No
29,MicroRNA-505-5p functions as a tumor suppressor by targeting cyclin-dependent kinase 5 in cervical cancer.,"MicroRNAs (miRs) are considered to be tumor suppressors or oncogenes as they regulate cell proliferation, migration, invasion, and differentiation. Recently, microRNA-505 (miR-505) has been reported as being involved in the progression of several human cancers. In the present study, we aim to investigate the expression rate and functional role of miR-505-5p in cervical cancer (CC) to determine its significance regarding the disease's development.The expression of miR-505-5p and cyclin-dependent kinase 5 (CDK5) in specimens of patients with CC and CC cell lines was examined by quantitative real-time PCR (qRT-PCR) and Western Blot. The relationship between miR-505-5p and CDK5 was verified by luciferase reporter assay. Cell counting kit-8 (CCK-8) assay, Scratch wound healing assay and transwell assay were used to detect the roles of miR-505-5p and CDK5 in CC cell functions. Western Blot was utilized to explore the epithelial-mesenchymal transition (EMT) markers.The result showed that in CC tissues and CC cell lines miR-505-5p was down-regulated while CDK5 level was up-regulated. MiR-505-5p was closely correlated with the metastasis-associated clinicopathological features. Overexpression of miR-505-5p inhibited cell viability, cell metastasis and EMT in CC cells. CDK5 was confirmed as a direct target of miR-505-5p and inverse relationship between them was also observed. Overexpression of CDK5 reduces the inhibitory effects of miR-505-5p in CC.Taken together, these results determine that miR-505-5p is a tumor suppressor miRNA which regulates tumor cell proliferation, migration, and invasion via binding to the functional target CDK5 and demonstrates its potential for future use in the treatment of CC.",2019 Jul 31,"['Cell Line, Tumor', 'Cyclin-Dependent Kinase 5/*biosynthesis/genetics', 'Down-Regulation', 'Female', 'Gene Expression Regulation, Enzymologic', 'Gene Expression Regulation, Neoplastic', '*Genes, Tumor Suppressor', 'Humans', 'MicroRNAs/genetics/*metabolism', 'Middle Aged', 'Neoplasm Proteins/*biosynthesis/genetics', 'RNA, Neoplasm/genetics/*metabolism', 'Uterine Cervical Neoplasms/genetics/*metabolism/pathology']",31266812,hsa-mir-505,Yes
201,The deregulation of miR-17/CCND1 axis during neuroendocrine transdifferentiation of LNCaP prostate cancer cells.,"Prostate carcinoma contain foci of neuroendocrine transdifferentiation, resulting in an increase of androgen-independent neuroendocrine-like (NE) tumor cells, whose number significantly correlates with tumor aggressiveness and thus lower survival rate. Neuroendocrine transdifferentiation of prostate cancer cells and a potential role of miRNAs within this process are poorly understood. MicroRNAs are small non-coding RNAs which post-transcriptionally regulate gene expression. The aim of this project was to identify new genes and miRNAs involved in neuroendocrine transdifferentiation. LNCaP prostate cancer cells were differentiated to NE-like cancer cells and microarray analyses were performed. Microarray results have been validated for the eight most deregulated mRNAs and microRNAs via qRT-PCR and analyzed with different algorithms to predict new targets for deregulated microRNAs. The induced CyclinD1 gene could be validated as new target gene for the repressed miR-17 family containing miR-17, miR-20a, miR-20b, miR-106a and miR-106b via reporter gene assays and Western Blot. Functional analysis of miR-17 family shows a high influence on cell proliferation, colony forming ability and apoptosis in LNCaP cells. Our data demonstrate wide changes in mRNA and microRNA expression during neuroendocrine transdifferentiation of LNCaP cells and confirm new mRNA-miRNA interactions with potential roles in NE-transdifferentiation of prostate carcinoma.",2018,"['Cell Line, Tumor', '*Cell Transdifferentiation', 'Cyclin D1/genetics/*metabolism', 'Gene Expression Regulation, Neoplastic', 'HEK293 Cells', 'Humans', 'Male', 'MicroRNAs/genetics/*metabolism', 'Neuroendocrine Cells/*metabolism/pathology', 'Prostatic Neoplasms/genetics/*metabolism/pathology', 'RNA, Neoplasm/genetics/*metabolism']",30001402,hsa-mir-106b,Yes
186,miR-125a-3p and miR-483-5p promote adipogenesis via suppressing the RhoA/ROCK1/ERK1/2 pathway in multiple symmetric lipomatosis.,"Multiple symmetric lipomatosis (MSL) is a rare disease characterized by symmetric and abnormal distribution of subcutaneous adipose tissue (SAT); however, the etiology is largely unknown. We report here that miR-125a-3p and miR-483-5p are upregulated in the SAT of MSL patients, promoting adipogenesis through suppressing the RhoA/ROCK1/ERK1/2 pathway. TaqMan microRNA (miR) array analysis revealed that 18 miRs were upregulated in the SAT of MSL patients. Transfection of human adipose-derived mesenchymal stem cells (hADSCs) with the individual agomirs of these 18 miRs showed that miR-125a-3p and miR-483-5p significantly promoted adipogenesis. A dual-luciferase assay showed that RhoA and ERK1 were the targets of miR-125a-3p and miR-483-5p, respectively. Moreover, transfection of hADSCs with mimics of miR-125a-3p and miR-483-5p resulted in a pronounced decrease of ERK1/2 phosphorylation in the nucleus; conversely, transfection of hADSCs with inhibitors of miR-125a-3p and miR-483-5p led to a significant increase of ERK1/2 phosphorylation in the nucleus. Most importantly, we found that miR-125a-3p and miR-483-5p promoted de novo adipose tissue formation in nude mice. These results demonstrated that miR-125a-3p and miR-483-5p coordinately promoted adipogenesis through suppressing the RhoA/ROCK1/ERK1/2 pathway. Our findings may provide novel strategies for the management and treatment of MSL or obesity.",2015 Jul 7,"[""3' Untranslated Regions"", 'Adipogenesis', 'Adult', 'Animals', 'Case-Control Studies', 'Cell Nucleus/metabolism', 'Humans', 'Lipomatosis, Multiple Symmetrical/*genetics/pathology', '*MAP Kinase Signaling System', 'Male', 'Mesenchymal Stem Cells/cytology/metabolism', 'Mice', 'Mice, Nude', 'MicroRNAs/antagonists & inhibitors/genetics/*metabolism', 'Middle Aged', 'Mitogen-Activated Protein Kinase 1/chemistry/genetics/metabolism', 'Mitogen-Activated Protein Kinase 3/chemistry/genetics/metabolism', 'Oligonucleotides, Antisense/metabolism', 'Phosphorylation', 'Subcutaneous Fat/cytology/metabolism', 'Up-Regulation', 'rho-Associated Kinases/genetics/*metabolism', 'rhoA GTP-Binding Protein/genetics/*metabolism']",26148871,hsa-mir-483,Yes
35,Circ_0001742 promotes tongue squamous cell carcinoma progression via miR-431-5p/ATF3 axis.,"OBJECTIVE: Circular RNAs (circRNAs) have been demonstrated to involve in the development of various cancers. This study aimed to investigate the functions of circ_0001742 on regulating tongue squamous cell carcinoma (TSCC) development and the underlying mechanisms. PATIENTS AND METHODS: The expression of circ_0001742, miR-431-5p and activating transcription factor 3 (ATF3) mRNA was detected by quantitative real-time polymerase chain reaction (qRT-PCR). The protein levels of epithelial-mesenchymal transition (EMT)-related proteins and ATF3 were measured by Western blot analysis. 3-(4,5-dimethyl-2-thiazolyl)-2,5-diphenyl-2-H-tetrazolium bromide (MTT) and flow cytometry assay were used to evaluate cell proliferation and apoptosis. Besides, Cell migration and invasion were assessed by transwell assay. The relationships between circ_0001742 and miR-431-5p, miR-431-5p and ATF3 were predicted by online software and confirmed by dual-luciferase reporter assay, RNA immunoprecipitation (RIP), and pull-down assay. RESULTS: The expression of circ_0001742 was upregulated in TSCC tissues and cells. Knockdown of circ_0001742 inhibited proliferation, migration, invasion and EMT and induced apoptosis in TSCC cells. Then, miR-431-5p was identified as a target of circ_0001742, and knockdown of miR-431-5p reversed the effects of circ_0001742 knockdown on proliferation, apoptosis, migration, invasion and EMT of TSCC cells. Moreover, miR-431-5p could bind to ATF3, and overexpression of ATF3 rescued the effects mediated by miR-431-5p in TSCC cells. In addition, circ_0001742 regulated ATF3 expression through miR-431-5p. CONCLUSIONS: Our results demonstrated that circ_0001742 plays a tumor-promoting effect in TSCC cells by serving as a competing endogenous RNA (ceRNA) to regulate miR-431-5p/ATF3 axis, which might provide a potential therapeutic target for TSCC.",2019 Dec,"['Activating Transcription Factor 3/biosynthesis/*physiology', 'Apoptosis/physiology', 'Carcinoma, Squamous Cell/metabolism/*physiopathology', 'Cell Line, Tumor', 'Cell Movement/*physiology', 'Cell Proliferation/*physiology', 'Disease Progression', 'Epithelial-Mesenchymal Transition/physiology', 'Gene Expression Regulation, Neoplastic', 'Gene Knockdown Techniques', 'Humans', 'MicroRNAs/biosynthesis/*physiology', 'RNA, Circular/biosynthesis/*physiology', 'Tongue Neoplasms/metabolism/*physiopathology', 'Up-Regulation']",31841185,hsa-mir-431,Yes
803,Chronic and Intermittent Hyperglycemia Modulates Expression of Key Molecules of,"BACKGROUND: Due to its prominence in the regulation of metabolism and inflammation, adipose tissue is a major target to investigate alterations in insulin action. This hormone activates PI3K/AKT pathway which is essential for glucose homeostasis, cell differentiation, and proliferation in insulin-sensitive tissues, like adipose tissue. The aim of this work was to evaluate the impact of chronic and intermittent high glucose on the expression of biomolecules of insulin signaling pathway during the differentiation and maturation of human visceral preadipocytes. METHODS: Human visceral preadipocytes (HPA-V) cells were treated with high glucose (30 mM)during the proliferation and/or differentiation and/or maturation stage. The level of mRNA (by Real-Time PCR) and protein (by Elisa tests) expression of IRS1, PI3K, PTEN, AKT2, and GLUT4 was examined after each culture stage. Furthermore, we investigated whether miR-29a-3p, miR-143-3p, miR-152-3p, miR-186-5p, miR-370-3p, and miR-374b-5p may affect the expression of biomolecules of the insulin signaling pathway. RESULTS: Both chronic and intermittent hyperglycemia affects insulin signaling in visceral pre/adipocytes by upregulation of analyzed PI3K/AKT pathway molecules. Both mRNA and protein expression level is more dependent on stage-specific events than the length of the period of high glucose exposure. What is more, miRs expression changes seem to be involved in PI3K/AKT expression regulation in response to hyperglycemic stimulation.",2021,"['Adipocytes/cytology/metabolism', 'Cell Differentiation/physiology', 'Cell Proliferation/physiology', 'Female', 'Gene Expression', 'Glucose/metabolism', 'Glucose Transporter Type 4/genetics/metabolism', 'Humans', 'Hyperglycemia/*metabolism/pathology', 'Insulin/metabolism', 'Insulin Receptor Substrate Proteins/genetics/metabolism', 'Insulin Resistance', 'Intra-Abdominal Fat/cytology/*metabolism/physiology', 'MicroRNAs/genetics/metabolism', 'PTEN Phosphohydrolase/genetics/metabolism', 'Phosphatidylinositol 3-Kinases/genetics/*metabolism', 'Primary Cell Culture', 'Proto-Oncogene Proteins c-akt/genetics/*metabolism', 'Signal Transduction']",34299331,hsa-mir-29a,No
440,Evaluation of microRNA expression profiles that may predict recurrence of localized stage I non-small cell lung cancer after surgical resection.,"Prognostic markers that can predict the relapse of localized non-small cell lung cancer (NSCLC) have yet to be defined. We surveyed expression profiles of microRNA (miRNA) in stage I NSCLC to identify patterns that might predict recurrence after surgical resection of this common deadly cancer. Small RNAs extracted from formalin-fixed and paraffin-embedded tissues were hybridized to locked nucleic acid probes against 752 human miRNAs (representing 82% of the miRNAs in the miRBase 13.0 database) to obtain expression profiles for 37 cases with recurrence and 40 cases without recurrence (with clinical follow-up for at least 32 months). Differential expression between the two case groups was detected for 49% of the miRNAs (Wilcoxon rank sum test; P<0.01). The performance of expression profiles at differentiating the two case groups was assessed by leave-one-out and Monte Carlo cross-validations. In leave-one-out cross-validation using support vector machines- or top-scoring gene pair classifier methods, which looked for six- or two-miRNA-based classifiers, the identified miRNA expression pattern predicted recurrence with an accuracy of 70% and 83%, and hazard ratio of 3.6 [95% confidence interval (95% CI), 1.8-7.1] and 9.0 (95% CI, 4.4-18.2), respectively. Mean accuracy in Monte Carlo cross-validation using 1,000 random 60-17 splits was 69% (95% CI, 68-70) and 72% (95% CI, 71-72), respectively. The specific miRNAs mir-200b*, mir-30c-1*, mir-510, mir-630, mir-657, and mir-146b-3p and mir-124*, mir-585, and mir-708, respectively, represented most commonly among the 1,000 classifiers identified in Monte Carlo cross-validation by the two methods. MiRNAs mir-488, mir-503, and mir-647 were identified as potential reference miRNAs for future studies, based on the stability of their expression patterns across the 77 cases and the two case-groups. Our findings reinforce efforts to profile miRNA expression patterns for better prognostication of stage I NSCLC.",2010 Jan 1,"['Adult', 'Aged', 'Aged, 80 and over', 'Biomarkers, Tumor/genetics', 'Carcinoma, Non-Small-Cell Lung/*genetics/pathology/surgery', 'Female', 'Gene Expression', 'Gene Expression Profiling/*methods', 'Humans', 'In Situ Hybridization', 'Kaplan-Meier Estimate', 'Lung Neoplasms/*genetics/pathology/surgery', 'Male', 'MicroRNAs/*biosynthesis/genetics', 'Middle Aged', 'Neoplasm Recurrence, Local/*genetics/pathology', 'Neoplasm Staging', 'Prognosis', 'Reverse Transcriptase Polymerase Chain Reaction']",20028859,hsa-mir-146b,No
248,Influence of high glucose in the expression of miRNAs and IGF1R signaling pathway,"PURPOSE: Several roles are attributed to the myometrium including sperm and embryo transport, menstrual discharge, control of uterine blood flow, and labor. Although being a target of diabetes complications, the influence of high glucose on this compartment has been poorly investigated. Both miRNAs and IGF1R are associated with diabetic complications in different tissues. Herein, we examined the effects of high glucose on the expression of miRNAs and IGF1R signaling pathway in the human myometrium. METHODS: Human myometrial explants were cultivated for 48 h under either high or low glucose conditions. Thereafter, the conditioned medium was collected for biochemical analyses and the myometrial samples were processed for histological examination as well as miRNA and mRNA expression profiling by qPCR. RESULTS: Myometrial structure and morphology were well preserved after 48 h of cultivation in both high and low glucose conditions. Levels of lactate, creatinine, LDH and estrogen in the supernatant were similar between groups. An explorative screening by qPCR arrays revealed that 6 out of 754 investigated miRNAs were differentially expressed in the high glucose group. Data validation by single qPCR assays confirmed diminished expression of miR-215-5p and miR-296-5p, and also revealed reduced miR-497-3p levels. Accordingly, mRNA levels of IGF1R and its downstream mediators FOXO3 and PDCD4, which are potentially targeted by miR-497-3p, were elevated under high glucose conditions. In contrast, mRNA expression of IGF1, PTEN, and GLUT1 was unchanged. CONCLUSIONS: The human myometrium responds to short-term exposure (48 h) to high glucose concentrations by regulating the expression of miRNAs, IGF1R and its downstream targets.",2021,"['Adult', 'Apoptosis Regulatory Proteins', 'Female', 'Glucose', 'Humans', '*Labor, Obstetric', 'MicroRNAs/genetics', 'Middle Aged', 'Myometrium', 'Pregnancy', 'RNA-Binding Proteins', 'Receptor, IGF Type 1', '*Signal Transduction']",33575847,hsa-mir-497,Yes
190,Identification of reference genes and miRNAs for qRT-PCR in human esophageal squamous cell carcinoma.,"It is important to select an appropriate reference gene and miRNA when using quantitative real-time polymerase chain reaction (qRT-PCR) to analyze gene and miRNA expression. However, many commonly used reference genes and miRNAs are not stably expressed and therefore not suitable for normalization or quantification of qRT-PCR data. This study aims to identify appropriate reference genes and miRNAs for use in human esophageal squamous carcinoma qRT-PCR analysis. Using data provided by The Cancer Genome Atlas, we identified DDX5, LAPTM4A, P4HB, RHOA, miR-28-5p, miR-34a-5p, and miR-186-5p as candidate reference genes and miRNAs. We used qRT-PCR to verify the expression levels of these candidates and another seven commonly used reference genes and miRNAs. A set of 50 paired human normal esophageal tissues and squamous cell carcinoma samples were used in the analysis. We then used geNorm and NormFinder to analyze the results. DDX5, LAPTM4A, RHOA, ACTB, RNU48, miR-28-5p, miR-34a-5p, and miR-186-5p were stably expressed, indicating they are suitable for used as references in qRT-PCR analysis of esophageal squamous cell carcinoma. However, expression levels of 18s rRNA, GAPDH, P4HB, 5s rRNA, U6, and RNU6B varied greatly between esophageal normal and squamous cell carcinoma samples, indicating that they are not suitable for use as references in the qRT-PCR analysis of esophageal squamous cell carcinoma.",2017 Jan,"['Carcinoma, Squamous Cell/*genetics', 'Esophageal Neoplasms/*genetics', 'Esophageal Squamous Cell Carcinoma', 'Humans', 'MicroRNAs/*genetics', 'Real-Time Polymerase Chain Reaction/*methods/*standards', 'Reference Values', 'Reproducibility of Results']",27889881,hsa-mir-186,No
1626,miR-155 T/A (rs767649) and miR-146a A/G (rs57095329) single nucleotide,"Genetic variants in microRNAs (miRNAs) can alter the miRNAs expression and/or function, accordingly, affecting the related biological pathways and disease risk. Dysregulation of miR-155 and miR-146a expression levels has been well-described in viral hepatitis B (HBV). In the current study, we aimed to assess rs767649 T/A and rs57095329 A/G polymorphisms in miR-155, and miR-146a genes, respectively, as risk factors for Chronic HBV (CHBV) in the Egyptian population. Also, we aimed to do in silico analysis to investigate the molecules that primarily target these miRNAs. One hundred patients diagnosed as CHBV and one hundred age and sex-matched controls with evidence of past HBV infection were genotyped for miR-155 (rs767649) and miR-146a (rs57095329) using real-time polymerase chain reaction. The rs767649 AT and AA genotypes in CHBV patients confer four folds and ten folds risk respectively, as compared to control subjects [(AOR = 4.245 (95%CI 2.009-8.970), p<0.0001) and AOR = 10.583 (95%CI 4.012-27.919), p<0.0001, respectively)]. The rs767649 A allele was associated with an increased risk of developing CHBV (AOR = 2.777 (95%CI 1.847-4.175), p<0.0001). There was a significant difference in the frequency of rs57095329 AG and GG genotypes in CHBV patients compared to controls. AG and GG genotypes showed an increase in the risk of developing CHBV by about three and six folds respectively [AOR = 2.610 (95%CI 1.362-5.000), p = 0.004] and [AOR = 5.604 (95%CI 2.157-14.563), p<0.0001].We concluded that rs57095329 and rs767649 SNPs can act as potential risk factors for the development of CHBV in the Egyptian population.",2021,"['Adult', 'Alleles', 'Egypt/epidemiology', 'Female', 'Gene Expression Regulation', 'Genetic Association Studies', '*Genetic Predisposition to Disease', 'Genotype', 'Hepatitis B virus/genetics/pathogenicity', 'Hepatitis B, Chronic/epidemiology/*genetics/virology', 'Humans', 'Male', 'MicroRNAs/*genetics', 'Polymorphism, Single Nucleotide/genetics', 'Risk Factors']",34437653,hsa-mir-146a,Yes
1138,MicroRNA-145 influences the balance of Th1/Th2 via regulating RUNX3 in asthma,"AIM OF THE STUDY: To delineate the underlying mechanism of microRNA-145 modulate the balance of Th1/Th2 via targeting RUNX3 in asthma patients. MATERIALS AND METHODS: Peripheral blood samples were collected from asthma patients and healthy controls. CD4(+) T cells were isolated and cultured. Using quantitative PCR detect, the level of microRNA-145 and RUNX3 mRNA level in the CD4(+) T cells from asthma patients and healthy controls, meanwhile, western blot was used to detect the RUNX3 protein level. Th1 or Th2 related cytokines were measured by enzyme-linked immunosorbent assay. Dual-Luciferase Reporter Assay was performed to confirm the correlation between microRNA-145 and RUNX3. MicroRNA-145 mimic or inhibitor was transfected in the CD4(+) T cells and the changes of RUNX3 level, Th1 or Th2 related cytokines and the percentage of Th1 and Th2 were observed after transfection. RESULTS: MicroRNA-145 level of CD4(+) T cells was higher with a lower RUNX3 expression in asthma patients. There is negative correlation between microRNA-145 and RUNX3. Th2 hyperactivity and Th1 deficiency was detected in the CD4(+) T cells of asthma patients. Dual-Luciferase Reporter Assay has shown that RUNX3 is a target of microRNA. Up-regulation or down-regulation of miR-145 level caused RUNX3 expression changes in CD4(+) T cells and influence the related cytokines. Inhibition of microRNA-145 may reverse the imbalance of Th1/Th2 in asthma patients. CONCLUSION: MicroRNA-145 could regulate the balance of Th1/Th2 through targeting the RUNX3 in asthma patients. MicroRNA-145 and RUNX3 may be used as biomarkers or targets in the diagnosis or therapy of asthma.",2016,"['Asthma/blood/*metabolism', 'CD4 Lymphocyte Count', 'CD4-Positive T-Lymphocytes/cytology', 'Case-Control Studies', 'Cells, Cultured', 'Core Binding Factor Alpha 3 Subunit/*metabolism', 'Humans', 'MicroRNAs/*physiology', '*Th1-Th2 Balance', 'Transfection']",27902892,hsa-mir-145,No
5,MiRNA-615-3p Alleviates Oxidative Stress Injury of Human Cardiomyocytes Via PI3K/Akt Signaling by Targeting MEF2A.,"BACKGROUND: Myocardial infarction, a coronary heart disease, is a serious hazard to human health. Cardiomyocyte oxidative stress and apoptosis have been considered as the main causes of myocardial infarction. Here, we aimed to investigate the role of miR-615-3p in oxidative stress and apoptosis of human cardiomyocytes. METHODS: Reverse transcription-quantitative polymerase chain reaction was performed to determine miR-615-3p or MEF2A expression in human cardiomyocytes. Apoptosis and viability of human cardiomyocytes were assessed by flow cytometry analysis and CCK-8 assay. In addition, the contents of malondialdehyde, reactive oxygen species, and superoxide dismutase were detected by corresponding commercial kits. The binding of miR-615-3p and MEF2A in human cardiomyocytes was examined by luciferase reporterassay. RESULTS: Hypoxia/reoxygenation treatment downregulated the expression level ofmiR-615-3p in human cardiomyocytes. Overexpressing miR-615-3p increased human cardiomyocyte viability and decreased human cardiomyocyte apoptosis. Moreover, miR- 615-3p mimics suppressed oxidative stress in hypoxia/reoxygenation-stimulated human cardiomyocytes. MEF2A was confirmed as a target gene of miR-615-3p and was highly expressed in hypoxia/reoxygenation-stimulated human cardiomyocytes, and its upregu-lation partially reversed the influence of miR-615-3p mimics on oxidative stress and apop-tosis of human cardiomyocytes. Moreover, miR-615-3p inactivated the P13K/Akt pathway by inhibiting MEF2A. CONCLUSIONS: Overexpression of miR-615-3p protects human cardiomyocytes from oxida-tive stress injury by targeting MEF2A via the PI3K/Akt signaling.",2022 May,"['Humans', 'Hypoxia', '*MEF2 Transcription Factors/metabolism', 'MicroRNAs/genetics/*metabolism', '*Myocardial Infarction', 'Myocytes, Cardiac/metabolism', 'Oxidative Stress', 'Phosphatidylinositol 3-Kinases/metabolism', 'Proto-Oncogene Proteins c-akt/metabolism']",35552173,hsa-mir-615,Yes
2,Effects of microRNA-298 on APP and BACE1 translation differ according to cell type and 3'-UTR variation.,"Alzheimer's disease (AD) is marked by neurofibrillary tangles and senile plaques composed of amyloid beta (Abeta) peptides. However, specific contributions of different cell types to Abeta deposition remain unknown. Non-coding microRNAs (miRNA) play important roles in AD by regulating translation of major associated proteins, such as Abeta precursor protein (APP) and beta-site APP-cleaving enzyme (BACE1), two key proteins associated with Abeta biogenesis. MiRNAs typically silence protein expression via binding specific sites in mRNAs' 3'-untranslated regions (3'-UTR). MiRNAs regulate protein levels in a cell-type specific manner; however, mechanisms of the variation of miRNA activity remain unknown. We report that miR-298 treatment reduced native APP and BACE1 protein levels in an astrocytic but not in a neuron-like cell line. From miR-298's effects on APP-3'-UTR activity and native protein levels, we infer that differences in APP 3'-UTR length could explain differential miR-298 activity. Such varied or truncated, but natural, 3'-UTR specific to a given cell type provides an opportunity to regulate native protein levels by particular miRNA. Thus, miRNA's effect tailoring to a specific cell type, bypassing another undesired cell type with a truncated 3'-UTR would potentially advance clinically-relevant translational research.",2022 Feb 23,"[""3' Untranslated Regions/*genetics"", 'Amyloid Precursor Protein Secretases/*genetics/*metabolism', 'Amyloid beta-Protein Precursor/*genetics/*metabolism', 'Aspartic Acid Endopeptidases/*genetics/*metabolism', 'Cell Line', '*Genetic Variation', 'Humans', 'MicroRNAs/*genetics/*physiology', 'Protein Biosynthesis/*genetics']",35197498,hsa-mir-298,Yes
98,Reliability of miRNA Analysis from Fixed and Paraffin-Embedded Tissues.,"In clinical practice, patients' tissues are fixed and paraffin-embedded in order to enable histological diagnosis. Nowadays, those tissues are also used for molecular characterization. Formalin is the most used fixative worldwide, and Bouin's solution in some worldwide institutions. Among molecular targets, micro RNAs (miRNAs), the single-stranded non-coding RNAs comprised of 18 to 24 nucleotides, have been demonstrated to be resistant to fixation and paraffin-embedding processes, with consequent possible application in clinical practice. In the present study, let-7e-5p, miR-423-3p, miR-92a-1-5p, miR-30d-5p, miR-155-5p, miR-200a-3p, and miR-429 were investigated in formalin and matched Bouin's solution-fixed tissues of high grade serous ovarian cancers by means of real-time and droplet digital PCR (ddPCR). Micro RNAs were detectable and analyzable in both formalin- and Bouin's-fixed specimens, but on average, higher Ct values and lower copies/µL were found in Bouin's-fixed samples. Data from formalin-fixed samples correlated significantly for most targets with Bouin's ones, except for let-7e-5p and miR-155-5p. This study shows that miRNAs are analyzable in both formalin- and Bouin's-fixed specimens, with the possibility, after proper data normalization, to compare miRNA-based data from formalin-fixed samples to those of Bouin's-fixed ones.",2019,"['Humans', 'Immunohistochemistry', 'MicroRNAs/*genetics/isolation & purification', 'Paraffin Embedding', '*Real-Time Polymerase Chain Reaction/methods', 'Reproducibility of Results', 'Tissue Fixation']",31569791,hsa-mir-30d,No
174,lncRNA PVT1 promotes the angiogenesis of vascular endothelial cell by targeting miR‑26b to activate CTGF/ANGPT2.,"Angiogenesis is essential for various biological processes, including tumor blood supply delivery, cancer cell growth, invasion and metastasis. Plasmacytoma variant translocation 1 (PVT1) long noncoding RNA (lncRNA) has been previously reported to affect angiogenesis of glioma microvascular endothelial cells by regulating microRNA (miR)‑186 expression level. However, the specific underlying molecular mechanism of PVT1 regulation of angiogenesis in vascular endothelial cells remains to be elucidated. The present study investigated the role of PVT1 in cell proliferation, migration and vascular tube formation of human umbilical vein endothelial cells (HUVECs) using MTT assay, Transwell migration assay and in vitro vascular tube formation assay, respectively. In order to determine the effect of miR‑26b on cell proliferation, migration and vascular tube formation of HUVECs, miR‑26 mimic or miR‑26b inhibitor were transfected into HUVECs. Reverse transcription‑quantitative polymerase chain reaction and western blotting were conducted to quantify the mRNA and protein expression levels of target genes. The present study confirmed that miR‑26b bound 3'‑untranslated region (3'‑UTR) and subsequently influenced gene expression level using dual luciferase reporter assay. The current study observed that PVT1 affected cell proliferation, migration and in vitro vascular tube formation of HUVECs. In addition, it was determined that PVT1 was able to bind and degrade miR‑26b to promote connective tissue growth factor (CTGF) and angiopoietin 2 (ANGPT2) expression. miR‑26b was also identified to have a suppressive role in cell proliferation, migration and in vitro vascular tube formation of HUVECs via binding 3'‑UTR regions and downregulating CTGF and ANGPT2 expression levels. The current findings may improve the understanding of the underlying mechanism of PVT1 contributing to angiogenesis of vascular endothelial cells and offer rationale for targeting PVT1 to treat angiogenesis dysfunction‑associated diseases, including cancer metastasis.",2018 Jul,"[""3' Untranslated Regions/genetics"", 'Angiopoietin-2/*metabolism', 'Base Sequence', 'Cell Movement/genetics', 'Cell Proliferation/genetics', 'Connective Tissue Growth Factor/genetics/*metabolism', 'Gene Expression Regulation', 'Human Umbilical Vein Endothelial Cells/*metabolism', 'Humans', 'MicroRNAs/genetics/*metabolism', 'Neovascularization, Physiologic/*genetics', 'RNA, Long Noncoding/genetics/*metabolism']",29620147,hsa-mir-26b,Yes
