TI,AB,DP,MH,PMID,mir,is_mir_causal,note
miR-375 inhibits the proliferation and invasion of glioblastoma by regulating,"The aberrant expression of microRNA-375 (miR-375) has been proved to be associated with carcinogenesis. However, the role of miR-375 in glioblastoma (GBM) remains unknown. The aim of this study was to investigate biological functions and its molecular mechanisms of miR-375 in GBM cells. In this study, real-time PCR results showed that the level of miR-375 expression in GBM tissues and GBM cell lines (U87 and U251) was decreased. Using MTT assay, Transwell migration and invasion assay, we demonstrated that miR-375 overexpression significantly suppress cell proliferation, cell migration and cell invasion capacity in U87 and U251 cells. However, downregulation of miR-375 had reverse effects on cell proliferation, migration and invasion. Targeting association analysis, dual luciferase assay, RT-PCR and western blot analysis results confirmed that miR-375 could target the 3'UTR of Wnt5a mRNA and regulated its protein expression. Further studies also find overexpression of Wnt5a could significantly reverse miR-375-mediated proliferation, migration and invasion on U87 and U251 cells. Therefore, we concluded that miR-375 inhibited the proliferation and invasion of GBM by regulating Wnt5a and might be a possible therapeutic agent for GBM.",2019,"['Adult', 'Cell Line, Tumor', 'Cell Movement', 'Cell Proliferation/genetics', '*Gene Expression Regulation, Neoplastic/genetics', '*Glioblastoma/genetics/physiopathology', 'Humans', '*MicroRNAs/metabolism', '*Neoplasm Invasiveness/genetics', '*Wnt-5a Protein/genetics/metabolism']",30784283,hsa-mir-375,yes,
Identification of microRNAs that regulate TLR2-mediated trophoblast apoptosis and,"While infection-induced placental inflammation is a common mechanism of adverse pregnancy outcome, some pathogens can also trigger placental apoptosis, and Toll-like receptors (TLRs) mediate this response. Treatment of human first trimester trophoblast cells with bacterial peptidoglycan (PDG) reduces their constitutive secretion of IL-6 protein and induces apoptosis. This apoptotic response is dependent upon the cell's expression of TLR1, TLR2 and TLR10, and their lack of TLR6, such that ectopic expression of TLR6 prevents PDG-induced apoptosis and restores IL-6 production. In this current study we have identified three microRNAs (miRs) that regulate TLR2-mediated responses in the human trophoblast. Herein we report that miR-329 plays a pivotal role in mediating PDG-induced trophoblast apoptosis and inhibition of IL-6 mRNA expression by targeting the NF-?§B subunit, p65. TLR2 activation by PDG upregulates miR-329 expression and inhibits NF-?§B p65 and IL-6 mRNA, and this is reversed by the presence of TLR6. Moreover, inhibition of miR-329 prevents PDG-induced inhibition of NF-?§B p65 and IL-6 mRNA expression, and restores cell survival. In addition, we have found miR-23a and let-7c to directly regulate PDG-mediated inhibition of IL-6 mRNA. TLR2 activation by PDG upregulates miR23a and let-7c expression and this is reversed by the presence of TLR6. Furthermore, inhibition of both miR23a and let-7c prevents PDG-inhibition of trophoblast IL-6 mRNA expression. Together, our findings suggest that multiple miRs are involved in the molecular regulation of TLR2-mediated responses in the trophoblast towards gram-positive bacterial components.",2013,"['*Apoptosis/drug effects', 'Female', 'Gene Expression Regulation/drug effects', 'Humans', 'Interleukin-6/*genetics', 'MicroRNAs/*genetics/*metabolism', 'Peptidoglycan/pharmacology', 'Pregnancy', 'RNA, Messenger/genetics/metabolism', 'Toll-Like Receptor 2/*metabolism', 'Toll-Like Receptor 6/metabolism', 'Transcription Factor RelA/antagonists & inhibitors/metabolism', 'Trophoblasts/*cytology/drug effects/*metabolism']",24143215,hsa-mir-23a,no,shows effect on cellular phenotype but not disease
Association of microRNA expression with microsatellite instability status in,"MicroRNAs (miRNA), small noncoding RNAs, are potential diagnostic and prognostic markers, as well as therapeutic targets. miRNA profiles of colorectal carcinomas have not been studied extensively in the context of microsatellite instability (MSI) status. We therefore evaluated 55 paired colorectal adenocarcinomas (CRC) and non-neoplastic mucosa samples using a panel of 24 miRNAs selected by literature review and prior studies in our laboratory. Stem-loop reverse transcriptase quantitative (real-time) polymerase chain reaction assays were done on RNA extracted from formalin-fixed, paraffin-embedded tissue of resection specimens. When miRNA expression was compared with clinicopathologic features and MSI status, eleven miRNAs (miR-183, -31, -20, -25, -92, -93, -17, -135a, -203, -133b, and -223) were over-expressed in CRC relative to mucosa, and nine (miR-192, -215, -26b, -143, -145, -191, -196a, -16, and let-7a) were under-expressed in CRC. Relative expression of miR-92, -223, -155, -196a, -31, and -26b were significantly different among MSI subgroups, and miR-31 and miR-223 were overexpressed in CRC of patients with hereditary non-polyposis colorectal cancer syndrome (Lynch syndrome). Our findings indicate that miRNA expression in CRC is associated with MSI subgroups, including low MSI and HNPCC-associated cancers, and that miRNAs may have posttranscriptional gene regulatory roles in these MSI subgroups and possible effects on the clinicopathologic and biomarker characteristics.",2010,"['Adenocarcinoma/*genetics/pathology', 'Adult', 'Aged', 'Aged, 80 and over', 'Biological Assay', 'Colorectal Neoplasms/*genetics/pathology', 'Female', 'Gastric Mucosa/metabolism/pathology', 'Gene Expression Profiling', '*Gene Expression Regulation, Neoplastic', 'Humans', 'Male', 'MicroRNAs/*genetics/metabolism', '*Microsatellite Instability', 'Middle Aged']",20413677,hsa-mir-183,no,
Longitudinal monitoring reveals dynamic changes in circulating tumor cells (CTCs),"We evaluated the changes in CTC count and CTC-associated miRNAs during the course of chemotherapy in patients with metastatic colorectal cancer. Blood samples were collected from 9 metastatic colorectal cancer patients prior to chemotherapy and at every other chemotherapy session during the course of treatment. CTCs were isolated and enumerated using a size-exclusion method (CellSievo, Singapore). CTC-associated miRNAs were isolated using a paper-based, partitioning method, and analyzed using reverse transcription quantitative real-time PCR (MiRXES, Singapore). CTC count trends generally correlated with disease progression defined by radiological measurements and trends in carcinoembryonic antigen (CEA) levels; hence CTC counts may be useful in cases where CEA is not elevated. CTC-associated miRNAs identified were miR-15b, miR-16, miR-19a, miR-21, miR-25, miR-30d, miR-126, miR-185, miR-221, miR-222, and miR-324-5p. The expression of CTC-associated miRNAs did not appear to correlate with CTC count and exhibited inter-individual heterogeneity. This pilot study suggests that analysis of CTC changes during the course of treatment may be useful in monitoring response to therapy in metastatic colorectal cancer.",2018,"['Adult', 'Aged', 'Antineoplastic Combined Chemotherapy Protocols/pharmacology/*therapeutic use', 'Cell Count', 'Colorectal Neoplasms/blood/*drug therapy/genetics', 'Female', 'Gene Expression Regulation, Neoplastic/drug effects', 'Humans', 'Longitudinal Studies', 'Male', 'MicroRNAs/*genetics/isolation & purification', 'Middle Aged', 'Neoplasm Metastasis', 'Neoplastic Cells, Circulating/*drug effects', 'Pilot Projects', 'Prospective Studies', 'Treatment Outcome']",29518480,hsa-mir-15b,no,
"CDKN2A, NF2, and JUN are dysregulated among other genes by miRNAs in malignant mesothelioma -A miRNA microarray analysis.","Malignant mesothelioma (MM) is an aggressive cancer arising from mesothelial cells, mainly due to former asbestos exposure. Little is known about the microRNA (miRNA) expression of MM. miRNAs are small noncoding RNAs, which play an essential role in the regulation of gene expression. This study was carried out to analyze the miRNA expression profile of 17 MM samples using miRNA microarray. The analysis distinguished the overall miRNA expression profiles of tumor tissue and normal mesothelium. Differentially expressed miRNAs were found in tumor samples compared with normal sample. Twelve of them, let-7b*, miR-1228*, miR-195*, miR-30b*, miR-32*, miR-345, miR-483-3p, miR-584, miR-595, miR-615-3p, and miR-885-3p, were highly expressed whereas the remaining nine, let-7e*, miR-144*, miR-203, miR-340*, miR-34a*, miR-423, miR-582, miR-7-1*, and miR-9, were unexpressed or had severely reduced expression levels. Target genes for these miRNAs include the most frequently affected genes in MM such as CDKN2A, NF2, JUN, HGF, and PDGFA. Many of the miRNAs were located in chromosomal areas known to be deleted or gained in MM such as 8q24, 1p36, and 14q32. Furthermore, we could identify specific miRNAs for each histopathological subtype of MM. Regarding risk factors such as smoking status and asbestos exposure, significantly differentially expressed miRNAs were identified in smokers versus nonsmokers (miR-379, miR-301a, miR-299-3p, miR-455-3p, and miR-127-3p), but not in asbestos-exposed patients versus nonexposed ones. This could be related to the method of assessment of asbestos exposure as asbestos remains to be the main contributor to the development of MM.",2009 Jul,"['Aged', 'Asbestos/poisoning', 'Chromosomes, Human', 'Cluster Analysis', 'Cyclin-Dependent Kinase Inhibitor p16/*genetics/metabolism', 'Female', 'Gene Expression Profiling/methods', '*Gene Expression Regulation, Neoplastic', 'Humans', 'Male', 'Mesothelioma/*genetics/metabolism/pathology', 'MicroRNAs/biosynthesis/*genetics/metabolism', 'Middle Aged', 'Neurofibromin 2/*genetics/metabolism', 'Oligonucleotide Array Sequence Analysis/methods', 'Proto-Oncogene Proteins c-jun/*genetics/metabolism', 'Risk Factors', 'Smoking/genetics/metabolism', 'Survival Analysis']",19396864,hsa-mir-595,no,
miR-718 is involved in malignancy of papillary thyroid cancer through repression of PDPK1.,"BACKGROUND: MicroRNAs bind the 3' untranslated regions (3'-UTRs) of mRNAs and thereby regulate gene expression post-transcriptionally and play an important role in cancer delvelopment. In the present study, we have explored the role of miR-718 in papillary thyroid cancer cell malignancy. MATERIALS/METHODS: Here we examined the miRNA expression in human papillary thyroid cancer by RT-PCR. Luciferase activity, RT-PCR and western blot assays were used to confirmed the target of miRNA. MTT, colony formation, transwell, glucose consumption and lactate production assays were performed to analyze papillary thyroid cancer cell function. Western blot for signaling proteins was used to reveal the mechanism. RESULTS: We first determined that miR-718 mRNA expression levels in PTC samples were reduced. The 3'-UTR of 3-Phosphoinositide Dependent Protein Kinase 1 (PDPK1) was then identified as a target of miR-718. Luciferase assays showed that miR-718 does in fact bind the wild-type PDPK1 3'-UTR. We assessed the effects of miR-718 on p-Akt, Akt, p-mTOR and mTOR expression. We determined that miR-718 negatively regulates their levels, respectively, of Akt-mTOR pathway components. We then assessed the effects of miR-718 on PTC cell behavior. The results revealed that miR-718 negatively regulates PTC cell proliferation, migration, and invasion. In addition, miR-718 was found to inhibit cell glucose metabolism, likely through the Akt-mTOR pathway. Finally, PDPK1 could rescue PTC cell inhibition induced by miR-718. CONCLUSIONS: The present study strongly suggests that miR-718 inhibits PTC cell proliferation, metastasis, and glucose metabolism by negatively regulating the Akt-mTOR signaling pathway.",2018 Nov,"['3-Phosphoinositide-Dependent Protein Kinases/*biosynthesis/genetics', 'Gene Expression Regulation, Neoplastic/*genetics', 'Humans', 'MicroRNAs/*genetics', 'Thyroid Cancer, Papillary/genetics/metabolism/*pathology']",30166214,hsa-mir-718,yes,
MicroRNA-214 regulates immunity-related genes in bovine mammary epithelial cells,"In human, microRNA-214 (miR-214) plays crucial roles in mechanisms of immunity. However, the potential importance of miR-214 in immune mechanisms in dairy cows has not been investigated. In this study, we assessed potential immunity-related functions of miR-214 in human 293A cells and in bovine mammary epithelial cells (BMECs). We found that NFATc3 and TRAF3 could be targeted by miR-214 in both 293A cells and BMECs. We also found that miR-214 indirectly inhibited the expression of MAP3K14, TBK1 and inflammatory cytokines IL-6 and IL-1?э. Taken together, our data revealed miR-214 regulated immunity-related genes by targeting NFATc3 and TRAF3, which provides insight into the molecular basis of immunity.",2017,"['Animals', 'Cattle', 'Cell Line', 'Epithelial Cells/*metabolism', 'Female', 'Humans', 'Interleukin-1beta/metabolism', 'Interleukin-6/metabolism', 'Mammary Glands, Animal/*cytology', 'MicroRNAs/genetics/*metabolism', 'NFATC Transcription Factors/genetics/*metabolism', 'Protein Serine-Threonine Kinases/metabolism', 'TNF Receptor-Associated Factor 3/genetics/*metabolism']",28627449,hsa-mir-214,no,also just cows
Upregulated UBE4B expression correlates with poor prognosis and tumor immune,"BACKGROUND: Hepatocellular carcinoma (HCC) is a major human health concern. Increasing evidence has demonstrated that ubiquitin ligase E4B (UBE4B) may be involved in the occurrence and development of various human cancers and may affect prognosis. However, the specific role and mechanism of UBE4B in HCC is unclear. METHODS: A pan-cancer analysis of UBE4B expression, clinicopathological features, and prognosis was performed using bioinformatics techniques. Subsequently, the expression, prognosis, and correlation of UBE4B and its upstream miRNAs and lncRNAs were analyzed. We investigated the relationship between UBE4B expression and immune cell infiltration, immunomodulatory factors, and chemokines in HCC. The expression levels of UBE4B and its upstream lncRNAs (FGD5-AS1, LINC00858, and SNHG16) and miRNAs (hsa-miR-22-3p) were evaluated in HCC cell lines using qRT-PCR. RESULTS: UBE4B expression increased in HCC and was correlated with a poor survival rate in patients with HCC. A ceRNA network was established to identify the UBE4B-hsa-miR-22-3p-FGD5-AS1/LINC00858/SNHG16 regulatory axis in HCC. UBE4B expression was significantly associated with immune cell infiltration, immunomodulators, chemokines, and their receptors in HCC. The mRNA expression of FGD5-AS1, LINC00858, SNHG16, and UBE4B was higher in the HCC cell lines (7721 and HepG2) than in the normal hepatocyte line (LO2), and the expression of hsa-miR-22-3p mRNA showed a decreasing trend. CONCLUSIONS: Our findings showed that upregulation of UBE4B was associated with poor prognosis and tumor immune infiltration in HCC. These findings will aid in understanding the relevant functions of UBE4B and provide new strategies for drug development and exploration of prognosis-related biomarkers.",2022,"['Humans', '*Carcinoma, Hepatocellular/pathology', '*Liver Neoplasms/pathology', '*RNA, Long Noncoding/genetics/metabolism', 'Cell Line, Tumor', '*MicroRNAs/metabolism', 'Prognosis', 'Gene Expression Regulation, Neoplastic', 'Ubiquitin-Protein Ligases/genetics/metabolism']",36470669,hsa-mir-22,no,
Molecular subtypes of pancreatic cancer based on miRNA expression profiles have independent prognostic value.,"BACKGROUND AND AIM: Altered microRNAs (miRNA) expression, a typical feature of many cancers, is reportedly associated with prognosis according to several studies. Although numerous studies on miRNAs in pancreatic ductal adenocarcinoma have also attempted to identify prognostic biomarkers, more large-scale clinical studies are needed to establish the clinical significance of the results. Present study aimed to identify prognosis-related molecular subtypes of primary pancreas tumors using miRNA expression profiling. METHODS: Expression profiles of 1733 miRNAs were obtained by using microarray analysis of 104 pancreatic tumors of Korean patients. To detect subgroups informative in predicting the patient's prognosis, we applied unsupervised clustering methods and then analyzed the association of the molecular subgroups with survival time. Then, we constructed a classifier to predict the subgroup using penalized regression models. RESULTS: We have determined three pancreatic ductal adenocarcinoma tumor subtypes associated with prognosis based on miRNA expression profiles. These subtypes showed significantly different survival time for patients with the same clinical conditions. This demonstrates that our prognostic molecular subgroup has independent prognostic utility. The molecular subtypes can be predicted with a classifier of 19 miRNAs. Of the 19 signature miRNAs, miR-106b-star, miR-324-3p, and miR-615 were related to a p53 canonical pathway, and miR-324, miR-145-5p, miR-26b-5p, and miR-574-3p were related to a Cox-2 centered pathway. CONCLUSIONS: Our prognostic molecular subtypes demonstrated that miRNA profiles could be used as prognostic markers. Additionally, we have constructed a classifier that may be used to determine the molecular subgroup of new patient sample data. Further studies are needed for validation.",2016 Jun,"['Aged', 'Biomarkers, Tumor/*genetics', 'Carcinoma, Pancreatic Ductal/classification/*genetics/mortality/pathology', 'Cell Differentiation', 'Chi-Square Distribution', 'Cluster Analysis', 'Female', 'Gene Expression Profiling/*methods', 'Humans', 'Kaplan-Meier Estimate', 'Male', 'MicroRNAs/*genetics', 'Middle Aged', 'Neoplasm Invasiveness', '*Oligonucleotide Array Sequence Analysis', 'Pancreatic Neoplasms/classification/*genetics/mortality/pathology', 'Predictive Value of Tests', 'Prognosis', 'Proportional Hazards Models', 'Regression Analysis', 'Republic of Korea', 'Retrospective Studies']",26644397,hsa-mir-615,no,
MiR-146a functions as a potential tumor suppressor in retinoblastoma by,"MicroRNAs (miRNAs) are dysregulated in many tumors and have been found to play crucial roles in cancer biology. Retinoblastoma is a rare tumor that develops rapidly from a malignant tumor of immature cells in the retina known as photoreceptor progenitors. Our study aimed to explore the role of miR-146a in the pathology of retinoblastoma. Potential target gene of miR-146a was predicted by Targetscan. Reverse transcription quantitative polymerase chain reaction (RT-PCR) showed that miR-146a was downregulated and ventral nerve tumor antigen 1 (Neuro - oncological ventral antigen 1, NOVA1) was upregulated in retinoblastoma. Luciferase assay confirmed that miR-146a directly target NOVA1. MiR-146a knockdown and overexpression experiments were performed and found that miR-146a could regulate the expression of NOVA1. The miR-146a knockdown and overexpression experiments were conducted to investigate the biological function of miR-146a. MiR-146a was found inhibited the viability, proliferation and invasion of retinoblastoma cell by MTT, EdU, and transwell assays. Flow cytometry was performed for the apoptosis analysis and miR-146a increased the apoptosis of retinoblastoma cell was found. Above phenomenon can be rescued by overexpression of NOVA1. In conclusion, these results suggest that miR-146a acts as a tumor suppressor and can act as a potential therapeutic target for retinoblastoma in the future.",2021,"['Apoptosis/genetics', 'Base Pairing', 'Base Sequence', 'Cell Line, Tumor', 'Cell Movement', 'Cell Proliferation', 'Child, Preschool', 'Female', '*Gene Expression Regulation, Neoplastic', 'Genes, Reporter', 'Humans', 'Luciferases/genetics/metabolism', 'Male', 'MicroRNAs/*genetics/metabolism', 'Neuro-Oncological Ventral Antigen', 'RNA-Binding Proteins/*genetics/metabolism', 'Retinal Neoplasms/*genetics/metabolism/pathology', 'Retinoblastoma/*genetics/metabolism/pathology', 'Signal Transduction']",33340248,hsa-mir-146a,yes,
Bladder cancer-associated transcript 1 promotes melanoma cell proliferation and invasion via the miR-374b-5p/U2-associated factor homology motif kinase 1 axis.,"Melanoma is a malignancy derived from melanocytes and is associated with high mortality rates worldwide. Long noncoding RNAs (lncRNAs) have been confirmed to be pivotal regulators in multiple types of cancer. Many lncRNAs are aberrantly expressed in tumors and perform vital functions in cancer progression. Nevertheless, the biological role of lncRNA bladder cancer-associated transcript 1 (BLACAT1) in melanoma progression remains unexplored. In this study, the collected data showed that BLACAT1 was highly expressed in melanoma. Mechanistically, miR-374b-5p bound to BLACAT1, and U2-associated factor homology motif kinase 1 (UHMK1) was a downstream target of miR-374b-5p. BLACAT1 upregulated UHMK1 expression by acting as a competing endogenous RNA for miR-374-5b. BLACAT1 deficiency resulted in the upregulation of miR-374b-5p expression and the downregulation of UHMK1 expression in melanoma cells. Moreover, BLACAT1 activated PI3K and AKT signaling by upregulating UHMK1 expression, as shown by western blotting analyses. Functionally, UHMK1 overexpression or miR-374b-5p knockdown reversed the suppressive effect of BLACAT1 depletion on melanoma cell proliferation and invasion. In conclusion, BLACAT1 promotes melanoma cell proliferation and invasion by upregulating UHMK1 expression via miR-374b-5p to activate the PI3K/AKT pathway. These results might provide promising insight into the investigation of prognostic biomarkers of melanoma.",2022 Feb,"['*Cell Movement', '*Cell Proliferation', 'Humans', 'Intracellular Signaling Peptides and Proteins/*physiology', 'Melanoma/*pathology', 'MicroRNAs/*physiology', 'Neoplasm Invasiveness', 'Protein Serine-Threonine Kinases/*physiology', 'RNA, Long Noncoding/*physiology', 'Tumor Cells, Cultured', 'Urinary Bladder Neoplasms/*pathology']",34708547,hsa-mir-374b,yes,
MiR-210 and miR-155 as potential diagnostic markers for pre-eclampsia,"Pre-eclampsia (PE) is one of the leading causes of maternal and neonatal morbidity and mortality. In recent years, many studies have shown that microRNAs (miRNA) play important roles in the development of PE. However, the molecular pathogenesis of PE remains unknown.In the present study, we performed a case-control study to verify the differential expression of 4 candidate miRNAs (miR-210, miR-155, miR-125b-5p, and miR-125a-5p) in 20 PE pregnancies and 20 healthy pregnancies. The real-time quantitative reverse transcriptase-polymerase chain reaction has been utilized to estimate the Ct values in both groups.Our results have shown that miR-210 and miR-155 were upregulated in serum of PE pregnancies, which suggest a potential association between these 2 miRNAs and the pathogenesis of PE. Further studies showed that the area under the receiver operating characteristic curve (AUC) of miR-210 and miR-155 were 0.750 and 0.703, respectively. The AUC of the expression ratio of miR-210 (serum/urine) and miR-155 (serum/urine) were 0.761 and 0.718, respectively. Moreover, 24-hour urine proteins have positive correlation with urine miR-210 and miR-155.Our findings indicated that serum miR-210 and miR-155 could be 2 sensitivity and specificity biomarkers for the diagnosis of PE while urine miR-210 and miR-155 both could be used to evaluate the severity of kidney injury. Using these miRNAs may provide a novel diagnosis method for identifying pregnant women who are at risk for developing PE.",2017,"['Adult', 'Area Under Curve', 'Biomarkers/blood/urine', 'Case-Control Studies', 'Female', 'Humans', 'MicroRNAs/*blood/*urine', 'Pre-Eclampsia/*blood/*urine', 'Pregnancy', 'ROC Curve', 'Real-Time Polymerase Chain Reaction']",28700503,hsa-mir-155,no,
Long non-coding RNA TUSC8 inhibits breast cancer growth and metastasis via miR-190b-5p/MYLIP axis.,"The lncRNA tumor suppressor candidate 8 (TUSC8) plays a critical role in the development of several cancers. However, the biological functions and underlying molecular mechanisms of TUSC8 with respect to breast cancer remain largely unclear. Here, we found that TUSC8 was significantly down-regulated in breast cancer tissues and its high expression predicted better prognosis of breast cancer patients. Functionally, knock-down of TUSC8 drastically promoted the proliferation, migration and invasion of breast cancer cells in vitro and facilitated tumorigenicity and metastasis in vivo. Mechanistically, the results of luciferase reporter, RIP and RNA pull-down assays proved that TUSC8 functioned as molecular sponge for miR-190b-5p. Furthermore, we showed that TUSC8 served as a competing endogenous RNA (ceRNA) of myosin regulatory light chain interacting protein (MYLIP) through competitively binding with miR-190b-5p and suppressed breast cancer metastasis through regulating the expression of epithelial-mesenchymal transition (EMT) related markers. Clinically, the receiver operating characteristic curve (ROC) analyses revealed that the combination usage of TUSC8 and MYLIP might become novel promising diagnostic biomarkers for breast cancer. Taken together, these results suggested that TUSC8 inhibited breast cancer growth and metastasis via miR-190b-5p/MYLIP axis, providing us new insights into developing potential therapeutic targets for breast cancer patients.",2020 Feb 9,"['Animals', 'Breast Neoplasms', 'Cell Line, Tumor', 'Cell Proliferation', 'Female', 'Gene Expression Regulation, Neoplastic', 'Gene Knockdown Techniques', 'Humans', 'Mice', 'Mice, Nude', 'MicroRNAs/genetics/*metabolism', 'Neoplasm Metastasis', 'Neoplasms, Experimental', 'RNA, Long Noncoding/genetics/*metabolism', 'Ubiquitin-Protein Ligases']",32039833,hsa-mir-190b,yes,
Differentially expressed microRNAs in pancreatic cancer stem cells.,"OBJECTIVE: The objective of this study was to analyze and identify pancreatic cancer stem cell-specific microRNAs (miRNAs) and messenger RNAs (mRNAs) to investigate their correlations to cancer stem cell biology. METHODS: We used sphere cultivation methods to enrich the stem cell population and analyzed overall miRNA and mRNA expressions using microarray analysis. RESULTS: Differentially expressed miRNAs including miR-99a, miR-100, miR-125b, miR-192, and miR-429 were detected in pancreatic cancer stem cells. Furthermore, examining both profiles, we obtained 210 miRNAs and 258 stem cell-associated mRNAs that were differentially expressed in the pancreatic cancer stem cells. These miRNAs and mRNAs were further investigated using cross-correlation analysis, which yielded 6 groups of miRNAs and 3 groups of mRNAs. The number of miRNA clusters and mRNA clusters showed high correlation based on microarray result. CONCLUSIONS: Differentially expressed miRNAs in pancreatic cancer stem cells provide insights into possible linkages between clusters of miRNAs and clusters of stem cell-associated mRNAs in cancer stem cells and have broad implications in our understanding of cancer stem cells and cancer stem cell-targeted cancer therapy.",2011,"['Cell Line, Tumor', 'Cluster Analysis', '*Gene Expression Profiling', '*Gene Expression Regulation, Neoplastic', 'Humans', 'MicroRNAs/*genetics', 'Neoplastic Stem Cells/*metabolism/pathology', 'Oligonucleotide Array Sequence Analysis', 'Pancreatic Neoplasms/genetics/pathology', 'RNA, Messenger/genetics', 'Reverse Transcriptase Polymerase Chain Reaction', 'Spheroids, Cellular/metabolism/pathology']",21785383,hsa-mir-99a,no,
MicroRNA-137 is downregulated in glioblastoma and inhibits the stemness of glioma,"Glioblastomas (GBM), the most common and aggressive malignant astrocytic tumors, contain a small subpopulation of cancer stem cells (GSCs) that are implicated in therapeutic resistance and tumor recurrence. Here, we study the expression and function of miR-137, a putative suppressor miRNA, in GBM and GSCs. We found that the expression of miR-137 was significantly lower in GBM and GSCs compared to normal brains and neural stem cells (NSCs) and that the miR-137 promoter was hypermethylated in the GBM specimens. The expression of miR-137 was increased in differentiated NSCs and GSCs and overexpression of miR-137 promoted the neural differentiation of both cell types. Moreover, pre-miR-137 significantly decreased the self-renewal of GSCs and the stem cell markers Oct4, Nanog, Sox2 and Shh. We identified RTVP-1 as a novel target of miR-137 in GSCs; transfection of the cells with miR-137 decreased the expression of RTVP-1 and the luciferase activity of RTVP-1 3'-UTR reporter plasmid. Furthermore, overexpression of RTVP-1 plasmid lacking its 3'-UTR abrogated the inhibitory effect of miR-137 on the self-renewal of GSCs. Silencing of RTVP-1 decreased the self-renewal of GSCs and the expression of CXCR4 and overexpression of CXCR4 abrogated the inhibitory effect of RTVP-1 silencing on GSC self-renewal. These results demonstrate that miR-137 is downregulated in GBM probably due to promoter hypermethylation. miR-137 inhibits GSC self-renewal and promotes their differentiation by targeting RTVP-1 which downregulates CXCR4. Thus, miR-137 and RTVP-1 are attractive therapeutic targets for the eradication of GSCs and for the treatment of GBM.",2013,"['Brain/metabolism', 'Brain Neoplasms/genetics/*metabolism', 'Cell Differentiation', 'Cell Movement/genetics', 'Cell Proliferation', 'DNA Methylation', 'Down-Regulation', 'Gene Expression Regulation, Neoplastic', 'Glioblastoma/genetics/*metabolism', 'Hedgehog Proteins/biosynthesis', 'Homeodomain Proteins/biosynthesis', 'Humans', 'Membrane Proteins', 'MicroRNAs/biosynthesis/genetics/*metabolism', 'Nanog Homeobox Protein', 'Neoplasm Proteins/genetics/*metabolism', 'Neoplastic Stem Cells/*cytology', 'Nerve Tissue Proteins/genetics/*metabolism', 'Neural Stem Cells/metabolism', 'Octamer Transcription Factor-3/biosynthesis', 'Promoter Regions, Genetic/genetics', 'Receptors, CXCR4/*biosynthesis', 'SOXB1 Transcription Factors/biosynthesis', 'Signal Transduction/genetics', 'Tumor Cells, Cultured']",23714687,hsa-mir-137,yes,
Validation of expression patterns for nine miRNAs in 204 lymph-node negative breast cancers.,"INTRODUCTION: Although lymph node negative (LN-) breast cancer patients have a good 10-years survival ( approximately 85%), most of them still receive adjuvant therapy, while only some benefit from this. More accurate prognostication of LN- breast cancer patient may reduce over- and under-treatment. Until now proliferation is the strongest prognostic factor for LN- breast cancer patients. The small molecule microRNA (miRNA) has opened a new window for prognostic markers, therapeutic targets and/or therapeutic components. Previously it has been shown that miR-18a/b, miR-25, miR-29c and miR-106b correlate to high proliferation. METHODS: The current study validates nine miRNAs (miR-18a/b miR-25, miR-29c, miR-106b, miR375, miR-424, miR-505 and let-7b) significantly correlated with established prognostic breast cancer biomarkers. Total RNA was isolated from 204 formaldehyde-fixed paraffin embedded (FFPE) LN- breast cancers and analyzed with quantitative real-time Polymerase Chain Reaction (qPCR). Independent T-test was used to detect significant correlation between miRNA expression level and the different clinicopathological features for breast cancer. RESULTS: Strong and significant associations were observed for high expression of miR-18a/b, miR-106b, miR-25 and miR-505 to high proliferation, oestrogen receptor negativity and cytokeratin 5/6 positivity. High expression of let-7b, miR-29c and miR-375 was detected in more differentiated tumours. Kaplan-Meier survival analysis showed that patients with high miR-106b expression had an 81% survival rate vs. 95% (P = 0.004) for patients with low expression. CONCLUSION: High expression of miR-18a/b are strongly associated with basal-like breast cancer features, while miR-106b can identify a group with higher risk for developing distant metastases in the subgroup of Her2 negatives. Furthermore miR-106b can identify a group of patients with 100% survival within the otherwise considered high risk group of patients with high proliferation. Using miR-106b as a biomarker in conjunction to mitotic activity index could thereby possibly save 18% of the patients with high proliferation from overtreatment.",2012,"['Adult', 'Aged', 'Biomarkers, Tumor/analysis/genetics', 'Breast Neoplasms/diagnosis/*genetics/pathology', 'Cell Proliferation', 'Female', 'Gene Expression Regulation, Neoplastic', 'Humans', 'Kaplan-Meier Estimate', 'Lymph Nodes/pathology', 'MicroRNAs/analysis/genetics/metabolism', 'Middle Aged', 'Prognosis', 'Receptors, Estrogen/metabolism', 'Survival Rate']",23144930,hsa-mir-505,no,
